Wall time,Step,Value
1750579443.5267758,16240,-6.967411518096924
1750579443.5905516,16242,-6.383368492126465
1750579443.748142,16248,-5.991231918334961
1750579445.4710052,16314,-5.279534339904785
1750579446.3777869,16347,-6.563522815704346
1750579447.5910459,16393,-6.437015533447266
1750579448.1517293,16412,-5.568159103393555
1750579448.2321744,16415,-6.420269012451172
1750579448.6134953,16428,-5.4503889083862305
1750579450.1609244,16488,-6.040294170379639
1750579451.994166,16555,-5.491447448730469
1750579453.2660258,16604,-5.0
1750579453.3158298,16606,-6.519025802612305
1750579453.5857656,16616,-6.892932415008545
1750579454.510771,16651,-5.965020656585693
1750579454.767566,16660,-6.393775939941406
1750579456.5446806,16732,-6.133864402770996
1750579456.6343267,16736,-10.248945236206055
1750579458.2629094,16794,-6.637547969818115
1750579459.3866348,16835,-5.740607261657715
1750579460.2182195,16865,-5.686105728149414
1750579460.2665198,16867,-5.807633399963379
1750579460.6162567,16881,-6.807992935180664
1750579460.6786716,16884,-5.35642147064209
1750579461.3332875,16908,-6.579756736755371
1750579462.395213,16948,-6.377142906188965
1750579462.5081503,16952,-5.554612159729004
1750579463.9006677,17003,-5.416955947875977
1750579464.2753565,17017,-5.7601189613342285
1750579465.3434038,17055,-5.961731910705566
1750579465.4195206,17058,-6.553338050842285
1750579465.9544983,17077,-5.2095255851745605
1750579467.2145455,17121,-6.66411018371582
1750579467.362235,17127,-5.536446571350098
1750579467.3897297,17128,-5.266596794128418
1750579467.8391616,17144,-6.258753776550293
1750579468.1412168,17156,-6.187026023864746
1750579470.0977712,17230,-6.784104824066162
1750579470.1521854,17232,-6.287405967712402
1750579470.6306102,17251,-5.1941237449646
1750579471.0027735,17264,-6.36255407333374
1750579471.2791226,17274,-5.720672607421875
1750579471.4985785,17282,-6.943032264709473
1750579474.2978053,17395,-6.575222969055176
1750579475.0681074,17424,-6.5646209716796875
1750579475.2493963,17432,-6.269574165344238
1750579477.3357787,17516,-6.681986331939697
1750579477.5251563,17523,-5.127955436706543
1750579478.6548767,17564,-6.319738388061523
1750579480.0686262,17618,-6.725343704223633
1750579480.5301924,17633,-6.611793041229248
1750579480.55542,17634,-5.567642688751221
1750579480.9262094,17649,-6.554805755615234
1750579481.5314271,17672,-5.669332504272461
1750579482.00415,17689,-7.235754013061523
1750579482.249692,17698,-5.41377592086792
1750579483.2155735,17732,-6.054441452026367
1750579484.019936,17762,-6.739640235900879
1750579484.2084708,17769,-5.818916320800781
1750579485.3850691,17815,-6.389885902404785
1750579486.6456182,17864,-5.789242744445801
1750579486.9059422,17874,-5.299227237701416
1750579487.124942,17881,-7.144434928894043
1750579487.1535282,17882,-6.562134265899658
1750579487.2585845,17886,-7.636394023895264
1750579488.3025177,17925,-7.439331531524658
1750579488.5346045,17936,-7.1829328536987305
1750579488.9367158,17953,-5.457437038421631
1750579489.2423513,17965,-5.845972061157227
1750579490.3372767,18006,-6.184011459350586
1750579490.4167666,18009,-5.707345962524414
1750579491.0863166,18036,-6.250609874725342
1750579491.3205097,18043,-6.069780349731445
1750579491.797697,18065,-6.161704063415527
1750579492.228576,18081,-6.1337738037109375
1750579492.4336324,18089,-5.565609931945801
1750579493.0442357,18110,-5.534463882446289
1750579493.3868678,18122,-6.462739944458008
1750579493.6092513,18130,-6.409755706787109
1750579493.7161055,18134,-5.909622669219971
